時間,來源,模式,抓法,併發,限速ms,範圍,站上筆數,已下載,缺,新增,異動,下架,復原,處理筆數,請求數,清單請求,內文請求,被擋,錯誤,耗時秒,每筆毫秒,請求每秒,等伺服器ms,傳輸ms,解析ms,抓下MB,原始MB,需要KB,需要最小B,需要最大B,壓縮率%,有效率%,延遲p50ms,延遲p95ms,備註
2026-09-12 21:04,本機,補齊,,,,,,8312,,0,0,0,0,,5,,,0,,13.0,2596,,,,,1.0,,,,,,,,,探測 2842ms，站方正在限流
2026-09-12 21:07,本機,補齊,,,,,8304,8312,-8,0,0,0,0,,47,,,0,,156.4,3328,,,,,15.7,,,,,,,,,
2026-09-12 21:09,本機,補齊,,,,,8304,8303,1,0,0,9,0,,56,,,0,,24.0,429,,,,,15.7,,,,,,,,,
2026-09-12 21:10,本機,補齊,,,,,8304,8303,1,0,0,0,0,,48,,,0,,21.6,450,,,,,16.1,,,,,,,,,
2026-09-12 21:12,本機,補齊,,,,,8304,8304,0,0,0,0,0,,48,,,0,,16.2,338,,,,,16.1,,,,,,,,,
2026-09-12 21:18,本機,補齊,,,,,8304,8304,0,0,0,0,0,,48,,,0,,16.0,333,,,,,16.1,,,,,,,,,
2026-09-12 13:48,GitHub,補齊,,,,,8304,8304,0,0,0,0,0,,48,,,0,,24.3,506,,,,,16.1,,,,,,,,,
2026-09-12 21:56,本機,補齊,,,,,8304,8304,0,0,0,0,0,,48,,,0,,16.0,333,,,,,16.1,,,,,,,,,
2026-09-12 22:08,本機,效能測試,E・直接抓・併發 3　★建議,3,333,前 30 筆,8304,8304,0,0,0,0,0,30,36,6,30,0,0,19.3,643,1.87,1023,27,0.41,1.89,6.83,17.8,,,27.7,0.92,1087,2136,
2026-09-12 22:13,本機,效能測試,F・直接抓・併發 8,8,333,前 12 筆,8304,8304,0,0,0,0,0,12,18,6,12,0,0,9.1,759,1.98,320,161,0.43,0.95,3.42,6.2,,,27.7,0.64,400,2600,
2026-09-12 22:13,本機,效能測試,B・直接抓・循序,1,333,前 300 筆,8304,8304,0,0,0,0,0,14,21,7,14,0,0,6.7,481,3.12,41,9,0.38,1.69,4.28,6.7,,,39.5,0.39,36,53,中斷：使用者按了停止
2026-09-12 22:48,本機,全站,E・直接抓・併發 3　★建議,3,333,全部,8304,8304,0,0,0,0,0,7,55,48,7,0,0,18.1,2586,3.04,121,30,0.44,15.73,17.37,4.6,,,90.6,0.03,135,374,中斷：使用者按了停止
2026-09-13 00:58,GitHub,補齊+複查,B・直接抓・循序,1,333,全部,8304,8304,0,0,2,0,0,500,548,48,500,0,0,377.8,756,1.45,616,33,0.61,41.83,110.52,368.0,,,37.9,0.86,290,2273,
2026-09-13 14:35,本機,效能測試,B・直接抓・循序,1,333,前 100 筆,8304,8304,0,0,0,0,0,0,5,0,5,0,0,11.6,0,0.43,2047,221,0,0.26,0.95,0.0,,,27.7,0.0,2318,2930,探測 2319ms，站方正在限流
2026-09-14 01:23,GitHub,補齊+複查,B・直接抓・循序,1,333,全部,8304,8304,0,0,0,0,0,0,5,0,5,0,0,139.9,0,0.04,8722,150,0,0.26,0.95,0.0,,,27.7,0.0,8908,16699,探測 38601ms，站方正在限流
2026-09-14 01:47,GitHub,全站,B・直接抓・循序,1,333,全部,8304,8304,0,0,0,0,0,0,5,0,5,0,0,82.7,0,0.06,10123,152,0,0.26,0.95,0.0,,,27.7,0.0,11457,23350,探測 11505ms，站方正在限流
